yymm,tot,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong
2010. 01,57,59,47,56,64,46,48,46,NA
2010. 02,49,50,44,49,54,39,39,44,NA
2010. 03,64,61,64,69,67,65,52,60,NA
2010. 04,51,49,50,47,55,42,41,47,NA
2010. 05,59,56,56,55,62,62,52,54,NA
2010. 06,52,51,46,47,57,39,40,50,NA
2010. 07,36,33,41,36,37,27,26,39,NA
2010. 08,36,32,42,38,37,28,27,40,NA
2010. 09,32,25,38,36,34,29,28,36,NA
2010. 10,45,41,41,43,51,42,40,39,NA
2010. 11,73,71,60,70,78,70,71,62,NA
2010. 12,63,62,55,67,67,54,57,55,NA
2011. 01,45,44,38,41,48,34,39,39,NA
2011. 02,72,75,57,65,79,60,63,59,NA
2011. 03,65,65,58,58,71,55,59,63,NA
2011. 04,59,56,56,51,63,54,52,59,NA
2011. 05,75,72,76,66,84,67,67,75,NA
2011. 06,49,44,52,46,50,45,43,55,NA
2011. 07,34,28,41,35,36,28,28,42,NA
2011. 08,32,27,35,32,36,27,25,35,NA
2011. 09,33,29,33,32,40,30,28,35,NA
2011. 10,46,42,43,44,54,40,42,46,NA
2011. 11,46,38,41,47,49,38,40,45,NA
2011. 12,50,46,41,43,50,35,43,41,NA
2012. 01,57,60,45,51,63,45,51,48,NA
2012. 02,51,50,46,49,56,40,45,47,NA
2012. 03,51,46,47,48,55,45,46,49,NA
2012. 04,54,51,53,50,57,45,49,59,NA
2012. 05,58,52,58,49,64,56,53,60,NA
2012. 06,41,40,38,37,45,35,37,40,NA
2012. 07,33,28,40,34,30,24,27,49,NA
2012. 08,27,22,34,27,28,22,19,36,NA
2012. 09,33,27,35,31,35,32,28,36,NA
2012. 10,40,33,42,43,40,39,33,44,NA
2012. 11,48,42,47,48,49,43,44,45,NA
2012. 12,43,41,36,43,46,31,38,34,NA
2013. 01,64,64,56,65,63,52,58,54,NA
2013. 02,49,45,47,50,50,40,47,46,NA
2013. 03,62,55,66,60,58,59,54,64,NA
2013. 04,54,52,49,45,59,46,48,46,NA
2013. 05,60,55,62,52,60,57,53,59,NA
2013. 06,46,40,47,44,48,42,40,49,NA
2013. 07,38,34,47,32,39,33,28,44,NA
2013. 08,40,35,47,39,40,32,28,49,NA
2013. 09,33,28,33,31,35,33,29,32,NA
2013. 10,36,29,38,35,36,32,30,36,NA
2013. 11,46,42,43,42,46,39,39,41,NA
2013. 12,54,55,47,48,55,42,46,45,NA
2014. 01,62,57,57,60,58,52,56,55,NA
2014. 02,57,57,45,50,58,46,51,45,NA
2014. 03,58,60,50,50,58,49,50,49,NA
2014. 04,58,58,53,53,59,43,45,56,NA
2014. 05,67,63,71,60,67,64,59,67,NA
2014. 06,45,38,54,42,43,41,39,48,NA
2014. 07,41,38,48,38,41,29,31,45,NA
2014. 08,32,29,36,27,34,32,23,32,NA
2014. 09,34,29,39,33,36,31,27,35,NA
2014. 10,38,33,39,36,40,32,29,39,NA
2014. 11,47,45,47,49,47,37,39,46,NA
2014. 12,44,44,42,44,45,35,43,38,NA
2015. 01,52,49,47,54,53,43,52,46,NA
2015. 02,75,84,63,66,84,59,68,64,NA
2015. 03,68,71,56,61,73,64,68,59,NA
2015. 04,47,45,48,42,54,40,40,49,NA
2015. 05,50,45,56,48,52,41,49,57,NA
2015. 06,43,35,49,47,42,41,40,50,NA
2015. 07,34,30,37,34,34,31,31,38,NA
2015. 08,37,34,39,37,42,29,32,38,NA
2015. 09,30,28,29,30,38,25,27,28,NA
2015. 10,48,44,43,43,53,49,50,43,NA
2015. 11,36,33,33,34,41,35,37,31,NA
2015. 12,50,48,41,51,54,42,49,39,NA
2016. 01,50,50,45,49,49,39,48,43,52
2016. 02,47,45,46,45,46,44,46,42,47
2016. 03,60,64,52,52,65,52,59,50,59
2016. 04,67,71,60,60,72,64,64,61,60
2016. 05,54,56,53,48,58,49,49,57,47
2016. 06,42,46,39,39,48,35,38,41,39
2016. 07,30,33,29,29,35,23,27,32,30
2016. 08,34,34,36,28,37,28,29,32,38
2016. 09,37,37,36,33,41,31,32,35,39
2016. 10,39,38,37,35,42,32,36,37,39
2016. 11,53,52,49,52,55,44,51,48,53
2016. 12,48,48,44,47,47,40,47,40,49
2017. 01,52,53,45,49,52,47,51,42,53
2017. 02,47,46,42,41,47,35,46,39,46
2017. 03,59,60,52,48,62,49,54,51,57
2017. 04,57,56,54,50,58,54,58,55,58
2017. 05,62,63,58,53,63,56,63,64,64
2017. 06,42,41,42,38,42,35,43,44,44
2017. 07,35,33,37,34,37,24,32,41,36
2017. 08,26,21,28,24,27,24,24,27,28
2017. 09,37,32,39,36,38,34,37,36,40
2017. 10,33,29,32,32,33,33,36,29,39
2017. 11,48,42,50,52,41,50,51,46,50
2017. 12,47,50,46,46,45,44,49,38,47
2018. 01,50,52,45,47,48,45,56,40,53
2018. 02,52,53,52,48,49,50,56,47,51
2018. 03,49,52,44,43,49,48,52,40,46
2018. 04,56,52,63,56,46,56,60,64,55
2018. 05,43,42,44,40,40,40,47,45,45
2018. 06,38,37,41,36,34,41,38,42,36
2018. 07,28,24,37,27,26,26,26,39,27
2018. 08,24,22,28,22,25,24,22,25,24
2018. 09,24,20,26,24,24,25,22,26,23
2018. 10,33,28,32,32,33,34,31,31,31
2018. 11,56,52,47,57,55,59,63,47,58
2018. 12,45,43,40,47,45,43,51,35,55
2019. 01,60,66,48,57,62,53,66,45,70
2019. 02,56,57,48,54,55,57,62,46,64
2019. 03,62,69,51,54,67,63,68,49,71
2019. 04,42,41,40,40,43,43,40,40,40
2019. 05,50,52,47,46,51,50,46,49,50
2019. 06,33,29,32,32,29,40,30,34,34
2019. 07,27,26,26,26,31,29,23,29,23
2019. 08,28,25,30,26,30,31,25,30,27
2019. 09,25,21,24,23,28,27,22,25,23
2019. 10,32,31,27,27,35,35,29,27,32
2019. 11,41,40,35,41,41,43,43,34,45
2019. 12,39,42,35,42,40,33,40,33,46
2020. 01,39,42,32,37,42,36,41,30,47
2020. 02,38,41,34,38,37,32,38,31,43
2020. 03,40,45,33,38,41,35,40,34,47
